State_Name,District_Name,Crop_Year,Season,Crop,Cost
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Dry ginger,149
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Sugarcane,107.0254596
Andaman and Nicobar Islands,NICOBARS,2003,Kharif     ,Rice,100.3569193
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Arecanut,349.0795824
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Banana,24.94870822
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Black pepper,825.2206987
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Cashewnut,467
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Coconut ,226
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Dry chillies,106
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Dry ginger,135
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,other oilseeds,110.7022672
Andaman and Nicobar Islands,NICOBARS,2004,Kharif     ,Rice,136.9319731
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Arecanut,365.1264609
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Banana,25.12355211
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Black pepper,842.9302913
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Cashewnut,552
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Coconut ,130
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Dry chillies,170
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Dry ginger,136
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,other oilseeds,160.3724961
Andaman and Nicobar Islands,NICOBARS,2005,Kharif     ,Rice,105.5510784
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Arecanut,392.2869301
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Banana,25.20465156
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Black pepper,903.9926244
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Cashewnut,407
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Coconut ,136
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Dry chillies,135
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Turmeric,105.4766949
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Arecanut,335.551711
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Banana,35.74021796
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Black pepper,974.2448872
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Cashewnut,550
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Coconut ,211
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Dry chillies,96
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Dry ginger,133
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Sugarcane,149.8718709
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Sweet potato,135.4344755
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Tapioca,138.6425997
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Turmeric,114.6750334
Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Rice,133.5945537
Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Sugarcane,136.4028798
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Arecanut,320.7202935
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Black pepper,918.6357423
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Cashewnut,560
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Dry chillies,72
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Dry ginger,146
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Maize,101.9042458
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Moong(Green Gram),140.2996422
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Sweet potato,152.4515499
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Turmeric,103.9444512
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Urad,112.4124805
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Banana,30.64498739
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Coconut ,238
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Tapioca,122.4584759
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Arecanut,319.0720486
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Other Kharif pulses,153.075291
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Rice,159.7262873
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Banana,28.77658105
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Cashewnut,437
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Coconut ,220
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Dry ginger,131
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,other oilseeds,107.3404592
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Sugarcane,117.2340199
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Sweet potato,132.6656434
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Tapioca,143.7238042
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Arecanut,400.4142843
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Other Kharif pulses,149.7074415
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Rice,157.5774962
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Cashewnut,401
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Coconut ,170
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Dry ginger,136
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Sugarcane,157.868181
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Sweet potato,127.8352965
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif     ,Rice,123.71016
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Arecanut,413.3455147
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Banana,33.47296863
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Black pepper,951.1136146
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Cashewnut,474
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Coconut ,237
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Dry chillies,98
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Dry ginger,137
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,other oilseeds,124.7498483
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Sugarcane,102.9361296
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Sweet potato,160.8645158
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Tapioca,129.189564
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Turmeric,134.117149
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,Rice,150.7701265
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,Sugarcane,139.6164622
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Arecanut,373.3292271
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Arhar/Tur,60.67832708
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Black pepper,968.5833885
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Cashewnut,477
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Dry chillies,183
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Dry ginger,148
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Groundnut,114
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Maize,118.0997377
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Moong(Green Gram),157.5442207
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Sunflower,154.7460565
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Sweet potato,140.0968784
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Turmeric,144.0715728
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Urad,156.2657453
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year ,Banana,40.12229994
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year ,Coconut ,248
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year ,Tapioca,148.8461938
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif     ,Rice,148.7831208
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Arecanut,366.5734027
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Banana,30.37373384
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Black pepper,808.8294071
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Cashewnut,546
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Coconut ,215
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Dry chillies,68
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Dry ginger,137
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,other oilseeds,104.4160075
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Sugarcane,106.0045016
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif     ,Rice,158.3793341
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Arecanut,349.2704947
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Banana,36.8034006
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Black pepper,925.547021
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Cashewnut,572
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Coconut ,135
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Dry chillies,96
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Dry ginger,147
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,other oilseeds,100.5067726
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Sugarcane,113.5506084
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Kharif     ,Rice,131.934798
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Arecanut,409.0031658
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Banana,26.90461795
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Black pepper,917.840925
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Cashewnut,548
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Coconut ,217
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Dry chillies,176
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Dry ginger,143
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,other oilseeds,115.9490793
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Sugarcane,127.5866514
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif     ,Rice,110.3374672
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Arecanut,419.2015249
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Banana,21.97011645
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Black pepper,846.589988
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Cashewnut,438
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Coconut ,184
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Dry chillies,164
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Dry ginger,142
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,other oilseeds,145.8653569
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Sugarcane,150.2584967
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Sweet potato,128.4624257
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Tapioca,131.0709055
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Turmeric,111.026013
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif     ,Rice,122.5600915
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Arecanut,403.545668
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Banana,34.97612648
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Black pepper,992.3045427
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Cashewnut,463
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Coconut ,197
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Dry chillies,144
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Dry ginger,136
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,other oilseeds,128.8602426
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Sugarcane,124.7941474
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Sweet potato,112.5687609
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Tapioca,120.323202
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Turmeric,120.4969126
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,Rice,110.9693031
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,Sugarcane,155.9609097
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Arecanut,352.0779864
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Arhar/Tur,55.78229502
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Black pepper,993.9924119
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Cashewnut,576
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Dry chillies,178
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Dry ginger,145
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Groundnut,102
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Maize,142.316064
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Moong(Green Gram),159.7289727
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Sunflower,108.106866
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Sweet potato,118.7454477
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Turmeric,112.1211261
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Urad,126.8522358
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Banana,27.84637272
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Coconut ,239
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Tapioca,153.8633262
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Arhar/Tur,46.7993651
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Bajra,47.73113278
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Castor seed,41.81950026
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Cotton(lint),89
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Dry chillies,138
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Groundnut,109
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Horse-gram,0
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Jowar,36
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Korra,63
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Maize,157.8420847
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Moong(Green Gram),131.5339453
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Other Kharif pulses,108.9081257
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Ragi,107.8052824
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Rice,119.3376246
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Sugarcane,112.3063153
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Sunflower,138.7850874
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Tobacco,135.1384926
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Dry chillies,103
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Gram,101
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Groundnut,109
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Horse-gram,45
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Jowar,24
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Korra,64
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Maize,107.6329791
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Ragi,115.1095348
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Rice,160.6600895
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Sunflower,158.3026424
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Wheat,138.8062787
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Arhar/Tur,51.18454025
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Bajra,50.58521192
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Castor seed,58.23302573
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Cotton(lint),83
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Dry chillies,85
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Groundnut,105
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Horse-gram,47
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Jowar,27
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Korra,73
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Maize,102.6668177
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Moong(Green Gram),127.3934474
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Other Kharif pulses,143.8022824
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Ragi,136.922495
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Rice,105.9125175
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Sunflower,114.8247901
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Dry chillies,121
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Gram,113
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Groundnut,84
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Horse-gram,50
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Jowar,36
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Maize,110.8643956
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Ragi,147.6511168
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Rice,109.3283788
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Sunflower,145.3703441
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Wheat,155.2125872
Andhra Pradesh,ANANTAPUR,1998,Whole Year ,Sugarcane,154.7821103
Andhra Pradesh,ANANTAPUR,1998,Whole Year ,Tobacco,116.9260633
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Bajra,46.66525506
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Castor seed,57.88379624
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Cotton(lint),88
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Groundnut,105
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Horse-gram,50
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Jowar,34
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Maize,151.5193235
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Masoor,107.5466421
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Moong(Green Gram),128.024747
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Ragi,127.5687455
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Rice,142.3678494
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Sesamum,106.658033
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Urad,137.4146863
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Bajra,82.85908854
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Gram,107
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Groundnut,105
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Horse-gram,39
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Jowar,25
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Linseed,40
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Maize,122.5073384
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Masoor,154.1098826
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Moong(Green Gram),116.6404875
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Ragi,109.4944244
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Rice,137.0074058
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Safflower,155.338534
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Sesamum,155.0573137
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Wheat,148.4803345
Andhra Pradesh,ANANTAPUR,1999,Whole Year ,Dry chillies,177
Andhra Pradesh,ANANTAPUR,1999,Whole Year ,Onion,117.5990343
Andhra Pradesh,ANANTAPUR,1999,Whole Year ,Sugarcane,137.0989064
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Arhar/Tur,40.92616047
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Bajra,79.71346758
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Castor seed,56.17135135
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Cotton(lint),97
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Dry chillies,93
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Gram,122
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Groundnut,82
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Horse-gram,42
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Jowar,26
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Korra,70
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Maize,124.6827875
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Moong(Green Gram),155.1206477
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Onion,160.3768638
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Other Kharif pulses,151.6395264
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,other misc. pulses,158.1284072
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Ragi,136.3817855
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Rice,155.8239401
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Samai,136.5850986
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Sesamum,132.0875255
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Small millets,159.7035246
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Sunflower,106.8140192
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Urad,113.756386
Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Arhar/Tur,55.04246503
Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Bajra,53.86837559
Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Dry chillies,167
Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Gram,101
